"CountryCode","CountryName","Region","DevelopmentStatus","LeastDevelopedCountries","LandlockedDevelopingCountries","SmallIslandDevelopingState","membership","Col1","Col2"
"SYR","Syrian Arab Republic","Western Asia","developing country",,,,,12.7,-7.3
"TJK","Tajikistan","Central Asia","developing country",,"Landlocked developing country",,,11.0,-3.3
"THA","Thailand","South-Eastern Asia","developing country",,,,,9.2,-9.4
"MKD","The former Yugoslav Republic of Macedonia","Southern Europe","developed country",,"Landlocked developing country",,,4.9,-10.7
"TGO","Togo","Western Africa","developing country","Least developed country",,,,12.7,-10.5
"TTO","Trinidad and Tobago","Caribbean","developing country",,,"Small island developing State",,12.8,-8.5
"TUN","Tunisia","Northern Africa","developing country",,,,,12.7,-7.3
"TUR","Turkey","Western Asia","developing country",,,,,12.7,-7.3
"TKM","Turkmenistan","Central Asia","developing country",,"Landlocked developing country",,,10.6,-1.8
"UGA","Uganda","Eastern Africa","developing country","Least developed country","Landlocked developing country",,,9.1,-0.7
"UKR","Ukraine","Eastern Europe","developed country",,,,,7.1,-10.9
"ARE","United Arab Emirates","Western Asia","developing country",,,,,12.6,-7.0
"TZA","United Republic of Tanzania","Eastern Africa","developing country","Least developed country",,,,13.5,-10.6
"URY","Uruguay","South America","developing country",,,,,9.3,-10.5
"UZB","Uzbekistan","Central Asia","developing country",,"Landlocked developing country",,,11.2,-1.9
"VUT","Vanuatu","Melanesia","developing country","Least developed country",,"Small island developing State",,-0.2,-3.0
"VEN","Venezuela (Bolivarian Republic of)","South America","developing country",,,,,12.6,-8.8
"VNM","Viet Nam","South-Eastern Asia","developing country",,,,,13.0,-7.4
"YEM","Yemen","Western Asia","developing country","Least developed country",,,,13.0,-7.2
"ZMB","Zambia","Eastern Africa","developing country","Least developed country","Landlocked developing country",,,12.7,-9.1
"ZWE","Zimbabwe","Eastern Africa","developing country",,"Landlocked developing country",,,12.6,-5.0
"LBY","Libya","Northern Africa","developing country",,,,,4.4,0.8
"CPV","Cabo Verde","Western Africa","developing country",,,"Small island developing State",,2.0,0.2
"KAZ","Kazakhstan","Central Asia","developing country",,"Landlocked developing country",,,4.5,0.7
"KIR","Kiribati","Micronesia","developing country","Least developed country",,"Small island developing State",,0.8,-0.8
"MNE","Montenegro","Southern Europe","developed country",,,,,2.5,-6.1
"NRU","Nauru","Micronesia","developing country",,,"Small island developing State",,-3.4,-1.0
"SRB","Serbia","Southern Europe","developed country",,,,,2.7,-5.9
"SSD","South Sudan","Eastern Africa","developing country","Least developed country","Landlocked developing country",,,-0.3,-1.2
"CHE","Switzerland","Western Europe","developed country",,,,,5.2,-8.3
"TLS","Timor-Leste","South-Eastern Asia","developing country","Least developed country",,"Small island developing State",,5.0,-6.1
"TON","Tonga","Polynesia","developing country",,,"Small island developing State",,0.6,-1.6
"TUV","Tuvalu","Polynesia","developing country","Least developed country",,"Small island developing State",,5.5,1.2
